Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
74        	76        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
74        	77        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
74        	78        	1         	a    	-16.6248808407	6.0243e-08    	2   	2   	2   	2   	1.0005	1000	1.0005	1000
75        	76        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
75        	77        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
75        	78        	1         	a    	-16.6248808407	6.0243e-08    	2   	2   	2   	2   	1.0005	1000	1.0005	1000
76        	77        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
76        	78        	1         	a    	-16.6248808407	6.0243e-08    	2   	2   	2   	2   	1.0005	1000	1.0005	1000
77        	78        	1         	a    	-16.6248808407	6.0243e-08    	2   	2   	2   	2   	1.0005	1000	1.0005	1000
79        	80        	1         	a    	-11.5822701258	9.3301e-06    	1   	1   	1   	1   	1.0009	1000	1.0009	1000
79        	81        	1         	a    	-11.5822701258	9.3301e-06    	1   	1   	1   	1   	1.0009	1000	1.0009	1000
79        	82        	1         	a    	-11.5822701258	9.3301e-06    	1   	1   	1   	1   	1.0009	1000	1.0009	1000
79        	83        	1         	a    	-5.8596533857 	0.0028522     	1   	1   	1   	1   	0   	1000	0   	1000
79        	84        	1         	a    	-5.8596533857 	0.0028522     	1   	1   	1   	1   	0   	1000	0   	1000
80        	81        	1         	a    	-10.3162448085	3.3091e-05    	2   	2   	2   	2   	0   	1000	0   	1000
80        	82        	1         	a    	-10.3162448085	3.3091e-05    	2   	2   	2   	2   	0   	1000	0   	1000
80        	83        	1         	a    	-11.4706914014	1.0431e-05    	2   	2   	2   	2   	0   	180.51	0   	180.51
80        	84        	1         	a    	-11.4706914014	1.0431e-05    	2   	2   	2   	2   	0   	180.51	0   	180.51
80        	103       	1         	a    	-11.5181558384	9.9478e-06    	2   	2   	2   	2   	0   	165.42	0   	165.42
81        	82        	1         	a    	-10.3162448085	3.3091e-05    	2   	2   	2   	2   	0   	1000	0   	1000
81        	83        	1         	a    	-11.4706914014	1.0431e-05    	2   	2   	2   	2   	0   	180.51	0   	180.51
81        	84        	1         	a    	-11.4706914014	1.0431e-05    	2   	2   	2   	2   	0   	180.51	0   	180.51
81        	103       	1         	a    	-11.5181558384	9.9478e-06    	2   	2   	2   	2   	0   	165.42	0   	165.42
82        	83        	1         	a    	-11.4706914014	1.0431e-05    	2   	2   	2   	2   	0   	180.51	0   	180.51
82        	84        	1         	a    	-11.4706914014	1.0431e-05    	2   	2   	2   	2   	0   	180.51	0   	180.51
82        	103       	1         	a    	-11.5181558384	9.9478e-06    	2   	2   	2   	2   	0   	165.42	0   	165.42
83        	84        	1         	a    	-5.8596533857 	0.0028522     	1   	1   	1   	1   	0   	1000	0   	1000
85        	86        	1         	a    	-77.8624125145	1.5303e-34    	14  	14  	14  	14  	0   	13.967	0   	13.967
85        	87        	1         	a    	-77.8624125145	1.5303e-34    	14  	14  	14  	14  	0   	13.967	0   	13.967
85        	88        	1         	a    	-64.4796523207	9.9276e-29    	14  	14  	14  	14  	0   	1000	0   	1000
26        	86        	1         	a    	-25.9750416893	5.2382e-12    	1   	1   	1   	1   	4.0036	1000	4.0036	1000
