Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
72        	77        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
72        	78        	1         	L    	-14.6191684502	4.4769e-07    	1.079	25.898	0   	0   	1.079	1000	0   	0   
73        	74        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
73        	75        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
73        	76        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
73        	77        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
73        	78        	1         	L    	-14.6191684502	4.4769e-07    	1.079	25.898	0   	0   	1.079	1000	0   	0   
74        	75        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
74        	76        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
74        	77        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
74        	78        	1         	L    	-14.6191684502	4.4769e-07    	1.079	25.898	0   	0   	1.079	1000	0   	0   
75        	76        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
75        	77        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
75        	78        	1         	L    	-14.6191684502	4.4769e-07    	1.079	25.898	0   	0   	1.079	1000	0   	0   
76        	77        	1         	L    	-11.7256636251	8.0837e-06    	2.072	-   	0   	-0  	0   	1000	0   	0   
76        	78        	1         	L    	-14.6191684502	4.4769e-07    	1.079	25.898	0   	0   	1.079	1000	0   	0   
77        	78        	1         	L    	-14.6191684502	4.4769e-07    	1.079	25.898	0   	0   	1.079	1000	0   	0   
79        	80        	1         	L    	-11.4522312178	1.0626e-05    	0   	179.82	0   	0   	2.0186	-   	0   	-0  
